Fecha_ARG,EventTypeCode,Points,Note
2024-11-28 00:27:52,PointsByTransferReceived,850,Suma puntos por transferencia recibida
2024-11-28 00:48:28,PointsByTransferReceived,1200,Suma puntos por transferencia recibida
2024-11-28 21:48:34,PointsByTransferReceived,8000,Suma puntos por transferencia recibida
2024-11-28 21:52:24,PointsByTransferReceived,1450,Suma puntos por transferencia recibida
2024-11-28 21:58:52,PointsByTransferReceived,620,Suma puntos por transferencia recibida
2024-11-28 22:20:20,PointsByTransferReceived,2390,Suma puntos por transferencia recibida
2024-11-28 22:45:22,PointsByTransferReceived,3965,Suma puntos por transferencia recibida
2024-11-28 22:52:05,PointsByTransferReceived,1100,Suma puntos por transferencia recibida
2024-11-28 23:00:35,PointsByTransferReceived,4595,Suma puntos por transferencia recibida
2024-11-29 00:28:32,PointsByTransferReceived,6790,Suma puntos por transferencia recibida
2024-11-29 00:41:34,PointsByTransferReceived,300,Suma puntos por transferencia recibida
2024-11-29 05:10:01,PointsByTransferReceived,2450,Suma puntos por transferencia recibida
2024-11-29 05:17:11,PointsByTransferReceived,500,Suma puntos por transferencia recibida
2024-11-29 12:32:49,PointsByTransferReceived,990,Suma puntos por transferencia recibida
2024-11-29 12:38:22,PointsByTransferReceived,750,Suma puntos por transferencia recibida
2024-11-29 12:39:30,PointsByTransferReceived,3470,Suma puntos por transferencia recibida
2024-11-29 12:41:52,PointsByTransferReceived,8000,Suma puntos por transferencia recibida
2024-11-29 12:45:11,PointsByTransferReceived,3110,Suma puntos por transferencia recibida
2024-11-29 18:54:44,PointsByTransferReceived,8000,Suma puntos por transferencia recibida
2024-11-30 12:15:01,PointsByTransferReceived,8000,Suma puntos por transferencia recibida
2024-12-02 05:24:11,PointsByTransferReceived,5130,Suma puntos por transferencia recibida
2024-12-03 02:42:14,PointsByTransferReceived,3000,Suma puntos por transferencia recibida
2024-12-03 02:43:22,PointsByTransferReceived,4130,Suma puntos por transferencia recibida
2024-12-03 03:01:19,PointsByTransferReceived,8000,Suma puntos por transferencia recibida
2024-12-03 03:13:39,PointsByTransferReceived,1680,Suma puntos por transferencia recibida
2024-12-03 03:18:09,PointsByTransferReceived,2480,Suma puntos por transferencia recibida
2024-12-03 22:37:38,PointsByTransferReceived,5200,Suma puntos por transferencia recibida
2024-12-03 22:41:02,PointsByTransferReceived,2050,Suma puntos por transferencia recibida
2024-12-03 22:41:48,PointsByTransferReceived,3050,Suma puntos por transferencia recibida
2024-12-03 22:44:34,PointsByTransferReceived,8000,Suma puntos por transferencia recibida
2024-12-07 00:16:12,PointsByTransferReceived,4435,Suma puntos por transferencia recibida
2025-06-01 12:50:59,PointsByTransferReceived,1670,Suma puntos por transferencia recibida
2025-06-01 12:51:46,PointsByTransferReceived,3930,Suma puntos por transferencia recibida
2025-06-01 12:53:16,PointsByTransferReceived,5785,Suma puntos por transferencia recibida
2025-06-01 12:55:48,PointsByTransferReceived,1150,Suma puntos por transferencia recibida
2025-06-01 12:57:06,PointsByTransferReceived,7800,Suma puntos por transferencia recibida
2025-06-01 12:58:15,PointsByTransferReceived,4500,Suma puntos por transferencia recibida
2026-01-06 00:10:05,PointsByTransferReceived,3430,Suma puntos por transferencia recibida
2026-02-07 16:32:09,PointsByTransferReceived,9440,Suma puntos por transferencia recibida
2026-02-07 16:34:00,PointsByTransferReceived,2695,Suma puntos por transferencia recibida
2026-02-07 16:37:52,PointsByTransferReceived,1000,Suma puntos por transferencia recibida
2026-02-07 16:39:03,PointsByTransferReceived,10200,Suma puntos por transferencia recibida
2026-02-07 16:46:01,PointsByTransferReceived,7000,Suma puntos por transferencia recibida
2026-02-07 16:48:39,PointsByTransferReceived,4000,Suma puntos por transferencia recibida
2026-02-07 16:49:35,PointsByTransferReceived,1200,Suma puntos por transferencia recibida
2026-02-07 16:51:04,PointsByTransferReceived,5500,Suma puntos por transferencia recibida
2026-02-07 16:52:25,PointsByTransferReceived,6400,Suma puntos por transferencia recibida
2026-02-07 16:54:21,PointsByTransferReceived,19500,Suma puntos por transferencia recibida
2026-02-10 22:48:35,PointsByTransferReceived,2000,Suma puntos por transferencia recibida
2026-02-10 23:02:54,PointsByTransferReceived,2400,Suma puntos por transferencia recibida
2026-02-10 23:13:50,PointsByTransferReceived,3400,Suma puntos por transferencia recibida
2026-02-22 22:08:04,PointsByTransferReceived,3500,Suma puntos por transferencia recibida
2026-02-22 22:10:09,PointsByTransferReceived,2400,Suma puntos por transferencia recibida
2026-02-22 22:11:29,PointsByTransferReceived,9400,Suma puntos por transferencia recibida
2026-02-22 22:12:43,PointsByTransferReceived,13000,Suma puntos por transferencia recibida
2026-02-22 22:14:01,PointsByTransferReceived,1400,Suma puntos por transferencia recibida
2026-05-25 22:40:20,PointsByTransferReceived,19000,Diego Ciraco DNI 23223694 — feeder identificado
2026-05-25 22:43:01,PointsByTransferReceived,24000,Christian Diaz DNI 36449166 — feeder identificado
2026-05-28 23:11:20,PointsByTransferReceived,8000,Suma puntos por transferencia recibida
